,Nenjiang,Qiqihar,Jiamusi,Harbin,Mudanjiang,Changchun,Kaiyuan,Shenyang,Chaoyang,Dandong,Dalian,Hailar,Xilinhot,Chifeng,Doron,Bailingmiao,Hohhot,Shanbazhen,Etuoke,Datong,Taiyuan,Linyi,Changzhi,Beijing,Tianjin,Tangshan,Baoding,Zhangzhou,Shijiazhuang,Handan,Anyang,Luoyang,Zhengzhou,Nanyang,Xinyang,Dezhou,Laiyang,Jinan,Linyi,Heze,Xuzhou,Yangzhou,Nanjing,Suzhou,Shanghai,Fuyang,Bengbu,Hefei,Anqing,Tunxi,Hangzhou,Ningbo,Jinhua,Wenzhou,Jiujiang,Nanchang,Shangrao,Ji&#39;an,Ganzhou,Jianyang,Fuzhou,Yongan,Zhangzhou,Taipei,Tainan,Yun County,Yichang,Gangneung,Wuhan,Yueyang,Fuling,Changsha,Shaoyang,Zhangzhou,Shaoguan,Shantou,Guangzhou,Zhanjiang,Haikou,Guilin,Liuzhou,Baise,Zhangzhou,Nanning,Altay,Yining,Urumqi,Hami,Kashgar,Xining,Golmud,Zhangye,Lanzhou,Pingliang,Tianshui,Yinchuan,Yulin,Yan&#39;an,Xi&#39;an,Hanzhong,Ankang,Guangyuan,Wanxian,Chengdu,Kangding,Chongqing,Xichang,Tongren,Bijie,Guiyang,Xingren,Zhaotong,Dali,Tengchong,Kunming,Simao,Heihe,Changdu,Lhasa,Palizhen
1470,,,,,,,4.0,,4.0,,,,,,,,,,,2.0,4,2.0,2.0,1.0,2,3,2,1.0,1,4,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,4,2,2,2,3,3.0,2.0,3.0,3.0,,3.0,,3.0,3.0,,,,,,,,3.0, ,5.0,5,,,3.0,,,, ,2.0,,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,4.0,4,4,3,1,2.0,4.0,,4.0,,5.0,,,,,,,,,,,,,,
1471,,,,,,,,,,,,,,,,,,,,3.0,3,3.0,3.0,2.0,3,2,2,2.0,4,3,3.0,2.0,3.0,,,3.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3,2,2,2,2,3.0,1.0,2.0,3.0,,2.0,,2.0,3.0,,,,,,,,3.0,,3.0,2,4.0,,4.0,,,,,,,,3.0,3.0,4.0,3.0,3.0,,,,,,,,,,,2.0,3.0,3,3,3,3,3.0,,,,,,,,,,,,,,,,,,,
1472,,,,,,,,,,,,,,,,,,,,4.0,4,5.0,5.0,5.0,5,4,4,4.0,4,5,3.0,,2.0,3.0,,5.0,4.0,5.0,4.0,5.0,,2.0,1.0,2.0,2,2,2,3,3,5.0,2.0,1.0,3.0,,3.0,,4.0,3.0,,2.0,1.0,1.0,,,,2.0,,3.0,3,,,2.0,,2.0,4.0,,4.0,,,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,3.0,3.0,4,4,4,1,2.0,,,,,,,,,,,,,,,,,,,
1473,,,,,,,,,,,,,,,,,,,,4.0,4,5.0,4.0,1.0,2,3,2,5.0,2,2,2.0,,3.0,,,5.0,3.0,5.0,5.0,5.0,,3.0,2.0,2.0,2,3,3,2,2,2.0,2.0,2.0,1.0,,3.0,,3.0,2.0,,,3.0,,,,,4.0,,5.0,3,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,3.0,5.0,4,4,3,4,4.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
1474,,,,,,,,,,,,,,,,,,,,3.0,3,4.0,4.0,2.0,3,3,2,5.0,1,4,4.0,,4.0,,,4.0,3.0,3.0,3.0,3.0,,4.0,2.0,2.0,1,3,2,2,1,2.0,2.0,3.0,2.0,,1.0,4.0,2.0,,,4.0,,4.0,1.0,,,3.0,,1.0,2,2.0,,2.0,,1.0,,,2.0,,,,,3.0,3.0,,,,,,,,,,2.0,,3.0,3.0,3,3,3,2,3.0,,,,,,,,,,3.0,,,,,,,,,
1475,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,2.0,2.0,2,3,3,3.0,3,3,,,3.0,,,3.0,3.0,3.0,3.0,3.0,,1.0,3.0,2.0,2,2,2,2,3,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,,1.0,5.0,4.0,5.0,,,,3.0,,1.0,1,1.0,,1.0,,2.0,,2,1.0,2.0,,,,4.0,4.0,,,,,,,,,,3.0,,3.0,3.0,2,2,3,3,3.0,,,,,,,,,,3.0,,,,,,,,,
1476,,,,,,,,,,,,,,,,,,,,1.0,3,4.0,4.0,4.0,3,3,3,3.0,4,3,,,3.0,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2,1,2,3,3,3.0,2.0,2.0,1.0,,3.0,2.0,3.0,,,5.0,5.0,,5.0,,,3.0,,3.0,4,3.0,,,,,,,2.0,,,,,4.0,3.0,,,,,,,,,,3.0,,3.0,3.0,2,2,2,3,3.0,,,,,,,,,,5.0,,,,,,,,,
1477,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,2,2.0,2.0,1.0,2,2,2,4.0,4,4,,,2.0,,,4.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,2,2,2,2,2,2.0,2.0,2.0,1.0,,5.0,3.0,2.0,,,3.0,,,3.0,,,3.0,3,3.0,3,3.0,2.0,4.0,,3.0,,,,,,2.0,2.0,,2.0,2.0,,,,,,,,,3.0,3.0,3.0,4.0,3,3,3,3,3.0,,,,,,,,,,,,,,,,,,,
1478,,,,,,2.0,2.0,2.0,,,,,,,,,,,,3.0,3,3.0,3.0,1.0,1,3,3,3.0,1,2,,,2.0,,,1.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2,2,1,2,5,5.0,3.0,2.0,,,3.0,3.0,4.0,2.0,,,,,,,,2.0,2,2.0,5,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2.0,,,,,,,,,,,,2.0,1.0,,,,,,
1479,,,,,,,,,,,,,,,,,,,,4.0,4,4.0,4.0,4.0,3,2,3,4.0,3,2,3.0,,3.0,,,1.0,,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4,4,4,4,5,5.0,,2.0,,,4.0,4.0,4.0,4.0,,,3.0,,,,,3.0,,4.0,3,5.0,,5.0,5.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,4,3,3,3,3.0,,,,,,,,,,,,3.0,,,,,,,
