,city,latitude,longtitude
0,嫩江,48.273699,124.8187866
1,齐齐哈尔,47.35434799999999,123.918186
2,佳木斯,46.799777,130.3188779
3,哈尔滨,45.80377499999999,126.534967
4,牡丹江,44.55165299999999,129.633168
5,长春,43.817071,125.323544
6,开原,42.54630700000001,124.038268
7,沈阳,41.805699,123.431472
8,朝阳,41.57365,120.4493879
9,丹东,40.000787,124.35445
10,大连,38.91400300000001,121.614682
11,海拉尔,49.212188,119.7361761
12,锡林浩特,43.933411,116.086032
13,赤峰,42.25785,118.886931
14,多伦,42.203591,116.485555
15,百灵庙,41.702546,110.441319
16,呼和浩特,40.842356,111.749995
17,陕坝,40.889788,107.147333
18,鄂托克,39.08965,107.97616
19,大同,40.076762,113.300129
20,太原,37.87059,112.548879
21,临汾,36.088005,111.518975
22,长治,36.195409,113.116404
23,北京,39.90419989999999,116.4073963
24,天津,39.3433574,117.3616476
25,唐山,39.63086699999999,118.180193
26,保定,38.874434,115.464589
27,沧州,38.30447700000001,116.838834
28,石家庄,38.042805,114.514893
29,邯郸,36.625656,114.538961
30,安阳,36.097577,114.392392
31,洛阳,34.620202,112.453926
32,郑州,34.746611,113.625328
33,南阳,32.990664,112.528308
34,信阳,32.147679,114.091192
35,德州,0.0,0.0
36,莱阳,36.978941,120.711672
37,济南,36.6512,117.120095
38,临沂,35.104673,118.356414
39,菏泽,35.23375,115.480656
40,徐州,34.205768,117.284124
41,扬州,32.394209,119.412939
42,南京,32.060255,118.796877
43,苏州,31.298974,120.585289
44,上海,31.2303904,121.4737021
45,阜阳,32.890479,115.814504
46,蚌埠,32.916287,117.389719
47,合肥,31.820591,117.227219
48,安庆,30.531919,117.115101
49,屯溪,29.696108,118.315329
50,杭州,30.274084,120.15507
51,宁波,29.868336,121.54399
52,金华,29.079175,119.64742
53,温州,27.993828,120.699361
54,九江,29.705077,116.00193
55,南昌,28.682892,115.858197
56,上饶,28.454862,117.943433
57,吉安,27.087637,114.964696
58,赣州,25.830694,114.933546
59,建阳,27.331876,118.120464
60,福州,26.074478,119.296482
61,永安,25.941937,117.365052
62,漳州,24.513025,117.647093
63,台北,25.0329694,121.5654177
64,台南,22.9997281,120.2270277
65,郧县,32.834775,110.81205
66,宜昌,30.691966,111.286471
67,江陵,30.041822,112.424664
68,武汉,30.592849,114.305539
69,岳阳,29.356803,113.12873
70,沅陵,28.452686,110.393844
71,长沙,28.228209,112.938814
72,邵阳,27.23895,111.467674
73,郴州,25.770509,113.014717
74,韶关,24.810879,113.59762
75,汕头,23.354091,116.681972
76,广州,23.12911,113.264385
77,湛江,21.270702,110.359368
78,海口,20.044412,110.198286
79,桂林,25.234479,110.179953
80,柳州,24.326292,109.428608
81,百色,23.902479,106.618283
82,梧州,23.476962,111.279115
83,南宁,22.817002,108.366543
84,阿勒泰,47.844924,88.14125299999999
85,伊宁,43.977138,81.527453
86,乌鲁木齐,43.825592,87.61684799999999
87,哈密,42.81842,93.51514999999999
88,喀什,39.467685,75.99378999999999
89,西宁,36.617134,101.778223
90,格尔木,36.40640399999999,94.928484
91,张掖,38.925875,100.449818
92,兰州,36.061089,103.834303
93,平凉,35.543061,106.665131
94,天水,34.58088499999999,105.72498
95,银川,38.487193,106.230908
96,榆林,38.28539,109.734589
97,延安,36.585445,109.489757
98,西安,34.341574,108.93977
99,汉中,33.06748,107.023323
100,安康,32.684714,109.029022
101,广元,32.435435,105.843357
102,万县,0.0,0.0
103,成都,30.572815,104.066801
104,康定,29.998435,101.957145
105,重庆,29.4315861,106.912251
106,西昌,27.894504,102.264449
107,铜仁,27.731514,109.189598
108,毕节,27.283955,105.291643
109,贵阳,26.647661,106.630153
110,兴仁,25.435183,105.186237
111,昭通,27.338257,103.717465
112,大理,25.606486,100.267638
113,腾冲,25.020439,98.490966
114,昆明,24.880095,102.832891
115,思茅,22.78691,100.977164
116,黑河,50.245129,127.528293
117,昌都,31.140969,97.17202
118,拉萨,29.652491,91.17210999999999
119,帕里,27.718194,89.154932
