,city,latitude,longtitude
0,Nenjiang,49.185766,125.221192
1,Qiqihar,47.35434799999999,123.918186
2,Jiamusi,46.799777,130.3188779
3,Harbin,45.80377499999999,126.534967
4,Mudanjiang,44.55165299999999,129.633168
5,Changchun,43.817071,125.323544
6,Kaiyuan,23.714316,103.267142
7,Shenyang,41.805699,123.431472
8,Chaoyang,39.921469,116.443107
9,Dandong,40.000787,124.35445
10,Dalian,38.91400300000001,121.614682
11,Hailar,49.212188,119.7361761
12,Xilinhot,43.933411,116.086032
13,Chifeng,42.25785,118.886931
14,Doron,42.203591,116.485555
15,Bailingmiao,41.700229,110.435929
16,Hohhot,40.842356,111.749995
17,Shanbazhen,22.543096,114.057865
18,Etuoke,39.08965,107.97616
19,Datong,40.076762,113.300129
20,Taiyuan,37.87059,112.548879
21,Linyi,35.104673,118.356414
22,Changzhi,36.195409,113.116404
23,Beijing,39.90419989999999,116.4073963
24,Tianjin,39.3433574,117.3616476
25,Tangshan,39.63086699999999,118.180193
26,Baoding,38.874434,115.464589
27,Zhangzhou,24.513025,117.647093
28,Shijiazhuang,38.042805,114.514893
29,Handan,36.625656,114.538961
30,Anyang,36.097577,114.392392
31,Luoyang,34.620202,112.453926
32,Zhengzhou,34.746611,113.625328
33,Nanyang,32.990664,112.528308
34,Xinyang,32.147679,114.091192
35,Dezhou,37.43409200000001,116.357464
36,Laiyang,36.978941,120.711672
37,Jinan,36.6512,117.120095
38,Linyi.1,35.054662,118.350095
39,Heze,35.23375,115.480656
40,Xuzhou,34.205768,117.284124
41,Yangzhou,32.394209,119.412939
42,Nanjing,32.060255,118.796877
43,Suzhou,31.298974,120.585289
44,Shanghai,31.2303904,121.4737021
45,Fuyang,32.890479,115.814504
46,Bengbu,32.916287,117.389719
47,Hefei,31.820591,117.227219
48,Anqing,30.531919,117.115101
49,Tunxi,29.696108,118.315329
50,Hangzhou,30.274084,120.15507
51,Ningbo,29.868336,121.54399
52,Jinhua,29.079175,119.64742
53,Wenzhou,27.993828,120.699361
54,Jiujiang,29.705077,116.00193
55,Nanchang,28.682892,115.858197
56,Shangrao,28.454862,117.943433
57,Ji&#39;an,27.087637,114.964696
58,Ganzhou,25.830694,114.933546
59,Jianyang,27.331876,118.120464
60,Fuzhou,26.074478,119.296482
61,Yongan,25.941937,117.365052
62,Zhangzhou.1,24.590913,117.609357
63,Taipei,25.0329694,121.5654177
64,Tainan,22.9997281,120.2270277
65,Yun County,24.437061,100.123248
66,Yichang,30.691966,111.286471
67,Gangneung,37.751853,128.8760574
68,Wuhan,30.592849,114.305539
69,Yueyang,29.356803,113.12873
70,Fuling,29.703113,107.389298
71,Changsha,28.228209,112.938814
72,Shaoyang,27.23895,111.467674
73,Zhangzhou.2,24.513025,117.647093
74,Shaoguan,24.810879,113.59762
75,Shantou,23.354091,116.681972
76,Guangzhou,23.12911,113.264385
77,Zhanjiang,21.270702,110.359368
78,Haikou,20.044412,110.198286
79,Guilin,25.234479,110.179953
80,Liuzhou,24.326292,109.428608
81,Baise,23.902479,106.618283
82,Zhangzhou.3,24.513025,117.647093
83,Nanning,22.817002,108.366543
84,Altay,47.844924,88.14125299999999
85,Yining,43.977138,81.527453
86,Urumqi,43.825592,87.61684799999999
87,Hami,42.81842,93.51514999999999
88,Kashgar,39.467685,75.99378999999999
89,Xining,36.617134,101.778223
90,Golmud,36.40640399999999,94.928484
91,Zhangye,38.925875,100.449818
92,Lanzhou,36.061089,103.834303
93,Pingliang,35.543061,106.665131
94,Tianshui,34.58088499999999,105.72498
95,Yinchuan,38.487193,106.230908
96,Yulin,22.654032,110.18122
97,Yan&#39;an,36.585445,109.489757
98,Xi&#39;an,34.341574,108.93977
99,Hanzhong,33.06748,107.023323
100,Ankang,32.684714,109.029022
101,Guangyuan,32.435435,105.843357
102,Wanxian,30.807667,108.408661
103,Chengdu,30.572815,104.066801
104,Kangding,29.998435,101.957145
105,Chongqing,29.4315861,106.912251
106,Xichang,27.894504,102.264449
107,Tongren,27.731514,109.189598
108,Bijie,27.283955,105.291643
109,Guiyang,26.647661,106.630153
110,Xingren,25.435183,105.186237
111,Zhaotong,27.338257,103.717465
112,Dali,25.606486,100.267638
113,Tengchong,25.020439,98.490966
114,Kunming,24.880095,102.832891
115,Simao,22.78691,100.977164
116,Heihe,50.245129,127.528293
117,Changdu,30.572815,104.066801
118,Lhasa,29.65483799999999,91.140552
119,Palizhen,27.718194,89.154932
